#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.1.0
LOG_FILE_VERSION : 1.0.3
LOG_CREATION_SV : 2.1.0
SUBJECT_NAME : 221_cyepi
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/1900
DEVICE_PLACEMENT : 
SUBJECT_DESCRIPTION : -
DEVICE_ID : 1607
DEVICE_MODEL : AL0101
HARDWARE_VERSION : 1.0
FIRMWARE_VERSION : 1.2
MEMORY_SIZE : 7963136
LOG_SIZE : 4737080
MEMORY_USAGE : 59.49 %
BATTERY_VOLTAGE : 3.9515
ERROR_FLAG : -
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : -
ORIENTATION : 16
MODE : -
INTERVAL : -
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : None
FILE_DATE_TIME : 30/10/2023 12:15:30
CONNECTION_SYSTEM_DATE_TIME : 30/10/2023 12:13:06
CONNECTION_DEVICE_DATE_TIME : 30/10/2023 13:13:03
DEVICE_PLACEMENT : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR
23/10/2023 08:07:50;0;0;23.19;0.00;16;0;0;0;0;0;0;2.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0005;0.0003;1.19;0.00
23/10/2023 08:08:00;0;0;23.12;0.00;16;0;0;0;0;0;0;2.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.20;0.00
23/10/2023 08:08:10;0;0;23.12;0.00;16;0;0;0;0;0;0;2.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;142;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0006;0.0003;1.24;0.00
23/10/2023 08:08:20;0;0;23.12;0.00;16;0;0;0;0;0;0;2.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;186;139;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.30;0.00
23/10/2023 08:08:30;0;0;23.12;0.00;16;4;0.4;0;0;0;0;2.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.30;0.00
23/10/2023 08:08:40;0;0;23.12;0.00;16;0;0;0;0;0;0;2.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.31;0.00
23/10/2023 08:08:50;0;0;23.12;0.00;16;0;0;0;0;0;0;2.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.27;0.00
23/10/2023 08:09:00;0;0;23.12;0.00;16;0;0;0;0;0;0;2.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.32;0.00
23/10/2023 08:09:10;0;0;23.12;0.00;16;0;0;0;0;0;0;3.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.28;0.00
23/10/2023 08:09:20;0;0;23.12;0.00;16;0;0;0;0;0;0;3.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.34;0.00
23/10/2023 08:09:30;0;0;23.12;0.00;16;0;0;0;0;0;0;3.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;142;0.0000;0.0001;0.0002;0.0003;0.0006;0.0005;0.0006;0.0003;1.36;0.00
23/10/2023 08:09:40;0;0;23.12;0.00;16;0;0;0;0;0;0;3.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0003;0.0006;0.0006;0.0006;0.0003;1.38;0.00
23/10/2023 08:09:50;0;0;23.12;0.00;16;3;0.3;0;0;0;0;3.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0002;0.0006;0.0006;0.0006;0.0003;1.32;0.00
23/10/2023 08:10:00;0;0;23.12;0.00;16;0;0;0;0;0;0;2.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0005;0.0003;1.21;0.00
23/10/2023 08:10:10;0;0;23.12;0.00;16;0;0;0;0;0;0;1.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;188;141;0.0000;0.0000;0.0001;0.0002;0.0004;0.0004;0.0004;0.0002;0.75;0.00
23/10/2023 08:10:20;0;0;23.12;0.00;16;0;0;0;0;0;0;2.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0004;0.0004;0.0004;0.0002;0.81;0.00
23/10/2023 08:10:30;0;0;23.12;0.00;16;0;0;0;0;0;0;2.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0005;0.0004;0.0004;0.0002;0.86;0.00
23/10/2023 08:10:40;0;0;23.06;0.00;16;0;0;0;0;0;0;2.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0001;0.0002;0.0005;0.0004;0.0004;0.0002;0.83;0.00
23/10/2023 08:10:50;0;0;23.12;0.00;16;0;0;0;0;0;0;2.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0005;0.0004;0.0004;0.0002;0.84;0.00
23/10/2023 08:11:00;0;0;23.06;0.00;16;0;0;0;0;0;0;2.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;186;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0004;0.0005;0.0002;0.91;0.00
23/10/2023 08:11:10;0;0;23.06;0.00;16;0;0;0;0;0;0;2.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0005;0.0004;0.0005;0.0002;0.83;0.00
23/10/2023 08:11:20;0;0;23.06;0.00;16;0;0;0;0;0;0;2.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0003;1.08;0.00
23/10/2023 08:11:30;0;0;23.06;0.00;16;0;0;0;0;0;0;2.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;188;140;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0005;0.0003;1.21;0.00
23/10/2023 08:11:40;0;0;23.06;0.00;16;0;0;0;0;0;0;2.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0004;1.34;0.00
